2015-08-09 21:54:45,273 [7] INFO  Umbraco.Core.CoreBootManager - [T1/D2] Umbraco application starting
2015-08-09 21:54:45,337 [7] INFO  Umbraco.Core.PluginManager - [T1/D2] Determining hash of code files on disk
2015-08-09 21:54:45,346 [7] INFO  Umbraco.Core.PluginManager - [T1/D2] Hash determined (took 8ms)
2015-08-09 21:54:45,353 [7] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-08-09 21:54:45,603 [7] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 38 (took 249ms)
2015-08-09 21:54:45,668 [7] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-08-09 21:54:45,673 [7] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 4ms)
2015-08-09 21:54:45,673 [7] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-08-09 21:54:45,678 [7] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 4ms)
2015-08-09 21:54:45,689 [7] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-08-09 21:54:45,694 [7] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 4 (took 5ms)
2015-08-09 21:54:45,695 [7] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-08-09 21:54:45,700 [7] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 35 (took 5ms)
2015-08-09 21:54:45,736 [7] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-08-09 21:54:45,741 [7] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 4ms)
2015-08-09 21:54:45,742 [7] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-08-09 21:54:45,746 [7] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 4ms)
2015-08-09 21:54:46,485 [7] INFO  Umbraco.Core.PluginManager - [T8/D2] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2015-08-09 21:54:46,491 [7] INFO  Umbraco.Core.PluginManager - [T8/D2] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 23 (took 6ms)
2015-08-09 21:55:03,577 [7] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of umbraco.interfaces.ICacheRefresher
2015-08-09 21:55:03,586 [7] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 20 (took 8ms)
2015-08-09 21:55:03,665 [7] INFO  umbraco.content - [T1/D2] Load Xml from file...
2015-08-09 21:55:03,694 [7] INFO  umbraco.content - [T1/D2] Loaded Xml from file.
2015-08-09 21:55:03,696 [7] INFO  umbraco.content - [T1/D2] Loading content from database...
2015-08-09 21:55:03,768 [7] INFO  Umbraco.Web.Search.ExamineEvents - [T1/D2] Initializing Examine and binding to business logic events
2015-08-09 21:55:03,807 [7] INFO  Umbraco.Web.Search.ExamineEvents - [T1/D2] Adding examine event handlers for index providers: 3
2015-08-09 21:55:03,811 [7] INFO  Umbraco.Core.CoreBootManager - [T1/D2] Umbraco application startup complete (took 18507ms)
2015-08-09 21:55:04,099 [7] INFO  Umbraco.Web.UmbracoModule - [T8/D2] Setting OriginalRequestUrl: localhost:51599/umbraco
2015-08-09 21:55:04,205 [7] INFO  Umbraco.Core.PluginManager - [T8/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
2015-08-09 21:55:04,215 [7] INFO  Umbraco.Core.PluginManager - [T8/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 44 (took 9ms)
2015-08-09 21:55:07,755 [7] INFO  umbraco.content - [T16/D2] Save Xml to file...
2015-08-09 21:55:07,759 [7] INFO  umbraco.content - [T8/D2] Saved Xml to file.
2015-08-09 21:55:14,611 [7] INFO  Umbraco.Core.PluginManager - [T13/D2] Starting resolution types of Umbraco.Web.Trees.TreeController
2015-08-09 21:55:14,617 [7] INFO  Umbraco.Core.PluginManager - [T13/D2] Completed resolution of types of Umbraco.Web.Trees.TreeController, found 4 (took 5ms)
2015-08-09 21:55:14,650 [7] INFO  Umbraco.Core.PluginManager - [T9/D2] Starting resolution types of umbraco.interfaces.ITree
2015-08-09 21:55:14,657 [7] INFO  Umbraco.Core.PluginManager - [T9/D2] Completed resolution of types of umbraco.interfaces.ITree, found 35 (took 6ms)
2015-08-09 21:55:14,665 [7] INFO  Umbraco.Core.PluginManager - [T9/D2] Starting resolution types of Umbraco.Web.Trees.TreeController
2015-08-09 21:55:14,665 [7] INFO  Umbraco.Core.PluginManager - [T9/D2] Completed resolution of types of Umbraco.Web.Trees.TreeController, found 4 (took 0ms)
2015-08-09 21:55:14,667 [7] INFO  Umbraco.Core.PluginManager - [T9/D2] Starting resolution types of umbraco.interfaces.ITree
2015-08-09 21:55:14,674 [7] INFO  Umbraco.Core.PluginManager - [T9/D2] Completed resolution of types of umbraco.interfaces.ITree, found 19 (took 7ms)
2015-08-09 21:55:14,693 [7] INFO  Umbraco.Core.PluginManager - [T9/D2] Starting resolution types of umbraco.interfaces.IApplication
2015-08-09 21:55:14,701 [7] INFO  Umbraco.Core.PluginManager - [T9/D2] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 7ms)
2015-08-09 21:56:13,812 [7] INFO  umbraco.BusinessLogic.Log - [T14/D2] Log scrubbed.  Removed all items older than 2015-06-10 21:56:13
2015-08-09 22:11:41,197 [7] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T79/D2] [LogScrubber] Terminating
2015-08-09 22:11:41,197 [7] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T79/D2] [LogScrubber] Waiting for tasks to complete
2015-08-09 22:11:41,198 [7] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T79/D2] [LogScrubber] Tasks completed, terminated
2015-08-09 22:11:41,198 [7] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T79/D2] [ScheduledPublishing] Terminating
2015-08-09 22:11:41,198 [7] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T79/D2] [ScheduledPublishing] Waiting for tasks to complete
2015-08-09 22:11:41,198 [7] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T79/D2] [ScheduledPublishing] Tasks completed, terminated
2015-08-09 22:11:41,198 [7] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T79/D2] [XmlCacheFilePersister] Terminating
2015-08-09 22:11:41,198 [7] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T79/D2] [XmlCacheFilePersister] Waiting for tasks to complete
2015-08-09 22:11:41,198 [7] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T82/D2] [XmlCacheFilePersister] Tasks completed, terminated
